BANC,MCNS,FAFB
720575941569072634,64814,720575940623152264
720575941631666668,53092,720575940619966680
720575941485911618,60427,720575940623554311
720575941654272980,155378,720575940621591536
720575941476745265,91659,720575940634250336
720575941584963167,78167,720575940629972418
720575941549180449,48885,720575940616893638
720575941595760241,63859,720575940623723814
720575941473379370,110040,720575940615420358
720575941624307594,54334,720575940624492176
720575941572777979,169453,720575940626882762
720575941414533268,113385,720575940625776115
720575941723081274,34593,720575940614455277
720575941526553346,37000,720575940615338961
720575941477836340,70483,720575940620167217
720575941558654067,55484,720575940624745655
720575941662670136,79875,720575940626128570
720575941521521591,28681,720575940652626934
720575941575254376,111938,720575940619088468
720575941624573339,68800,720575940620609006
720575941514963091,90590,720575940623183198
720575941470114013,42258,720575940624576551
720575941475082794,65004,720575940620703936
720575941540927773,59271,720575940612088433
720575941732304171,108562,720575940631258428
720575941514506330,155824,720575940644374051
720575941507568663,159071,720575940620256960
720575941463360525,59247,720575940621887112
720575941458905503,142950,720575940605292460
720575941506684289,97923,720575940617990557
720575941489850830,90916,720575940605291185
720575941671111847,95626,720575940629656258
720575941575670966,31856,720575940616720443
720575941575725238,45203,720575940617862630
720575941451022158,107591,720575940628201791
720575941633504160,93650,720575940627518995
720575941549705332,36492,720575940620252400
720575941572245918,167225,720575940636889456
720575941459635014,100073,720575940614614183
720575941576480360,52499,720575940631143724
720575941431698529,133375,720575940621690561
720575941657632592,52012,720575940620589848
720575941632083180,59545,720575940619683889
720575941495778759,30164,720575940623720885
720575941536264730,543005,720575940616486668
720575941506643013,68584,720575940605998257
720575941523892811,62067,720575940627612945
720575941407089199,85128,720575940636358511
720575941574684086,128402,720575940630692601
720575941475755067,127179,720575940625914686
720575941575231645,63138,720575940620765776
720575941630097446,125848,720575940610291524
720575941448342197,543741,720575940616071541
720575941603883966,16117,720575940631539754
720575941444911274,122776,720575940627064506
720575941651199729,117326,720575940629373968
720575941576731225,34690,720575940619225537
720575941459195091,62329,720575940624973240
720575941671142567,176427,720575940606551217
720575941687467532,123409,720575940629591543
720575941618599807,52281,720575940620015892
720575941529973451,90873,720575940629859371
720575941593194710,72583,720575940614528040
720575941535973313,58220,720575940606650754
720575941478840995,30825,720575940626001848
720575941620297855,58867,720575940627974174
720575941543266589,166215,720575940631729103
720575941569523188,86932,720575940622880094
720575941547909044,114812,720575940635164852
720575941499389513,59092,720575940609925589
720575941630725602,116677,720575940625893159
720575941479167874,83883,720575940622981153
720575941554838682,45704,720575940628582031
720575941487526864,58892,720575940619703256
720575941645398945,42447,720575940617982425
720575941448200724,91350,720575940611924722
720575941539930749,108974,720575940621239628
720575941631452832,68418,720575940622402943
720575941613099027,62063,720575940632764264
720575941589982348,41229,720575940622223273
720575941575146127,159356,720575940635757168
720575941559641359,119799,720575940635178744
720575941466454870,53854,720575940620139781
720575941607136621,169344,720575940616367291
720575941459695812,213751,720575940610373752
720575941510148880,122831,720575940616262651
720575941701619930,105474,720575940620339078
720575941506039973,53856,720575940617602843
720575941618525055,48504,720575940626653724
720575941593436968,25987,720575940632456490
720575941442526671,106085,720575940630921035
720575941548757364,172180,720575940611865829
720575941599382976,54340,720575940613712150
720575941500492427,73947,720575940625907044
720575941482408134,107397,720575940626774617
720575941482503677,121325,720575940623784205
720575941587906116,96812,720575940615732127
720575941520948919,58195,720575940625808398
720575941572018760,35569,720575940615916594
720575941610625766,84851,720575940615137703
720575941414646044,61419,720575940605469286
720575941528135096,131678,720575940614282792
720575941547808948,27382,720575940626629288
720575941427559252,90258,720575940605894833
720575941426235988,94290,720575940636293739
720575941593620261,136816,720575940620976048
720575941614161049,96261,720575940610995832
720575941630517730,88880,720575940612171470
720575941478620290,49430,720575940638820217
720575941480920450,141137,720575940617113174
720575941688971638,86297,720575940629455415
720575941544931516,132309,720575940623581124
720575941573885192,60847,720575940623654069
720575941482748102,121572,720575940621791727
720575941552076059,34056,720575940616959803
720575941572476936,51696,720575940623328184
720575941457294064,512295,720575940622106537
720575941651520277,83698,720575940641498331
720575941542528285,57119,720575940621946740
720575941669499057,52009,720575940617750050
720575941508611362,84791,720575940617611732
720575941437574719,60881,720575940628314643
720575941489041353,110403,720575940619582118
720575941439085887,116287,720575940607286146
720575941497280891,58818,720575940639650109
720575941470824567,63519,720575940620233899
720575941495306624,54075,720575940623819619
720575941475686961,64419,720575940611837560
720575941504156354,46361,720575940637442270
720575941479949903,55823,720575940620947695
720575941632635333,58597,720575940647592068
720575941549751585,47614,720575940609463620
720575941576297832,93235,720575940611352469
720575941431550712,59129,720575940640211022
720575941480284835,131013,720575940629497094
720575941495615943,70702,720575940624789833
720575941545862580,37723,720575940615142762
720575941552923710,57847,720575940621337025
720575941561895936,119974,720575940625351780
720575941408613294,131511,720575940612552946
720575941475633438,36306,720575940621757308
720575941524847460,60375,720575940621106961
720575941462271684,152605,720575940618619461
720575941518874540,49316,720575940609392393
720575941489485260,57860,720575940643862324
720575941618571391,68860,720575940618490781
720575941557811364,114995,720575940604650464
720575941433682702,82380,720575940660081537
720575941506538881,73608,720575940624940675
720575941580296017,113892,720575940628959431
720575941521534643,57472,720575940605787494
720575941612847891,130607,720575940617405755
720575941553201543,124327,720575940631884359
720575941504862914,52213,720575940622272681
720575941653286417,165783,720575940613170099
720575941525874457,150670,720575940605807904
720575941532203237,136393,720575940649961593
720575941548465213,71173,720575940624009107
720575941643561121,57531,720575940628006855
720575941511013392,122367,720575940630767631
720575941488889653,22579,720575940624656874
720575941624604924,55898,720575940620315969
720575941637172085,101115,720575940616928059
720575941464922966,101585,720575940610426051
720575941439898965,60804,720575940615724950
720575941547768456,118948,720575940611884773
720575941688691163,99130,720575940624543271
720575941640173599,63686,720575940632691231
720575941526360066,141819,720575940623790780
720575941560146035,92356,720575940630186059
720575941490439655,21806,720575940631225119
720575941441050715,16955,720575940623104280
720575941430794377,132424,720575940645190088
720575941564659346,49905,720575940616539186
720575941519189614,61411,720575940613838819
720575941639862559,155440,720575940621653718
720575941532134787,65287,720575940627661370
720575941429713801,47695,720575940625140238
720575941481743546,103383,720575940632606509
720575941593823851,100384,720575940623460339
720575941624854410,53332,720575940626587523
720575941546943156,96787,720575940632154439
720575941475680321,62885,720575940629803458
720575941540064205,145959,720575940622114045
720575941663817596,57510,720575940627160266
720575941483227389,30740,720575940636500069
720575941627660089,36848,720575940630966779
720575941618799487,39387,720575940629991243
720575941540814541,34752,720575940616252347
720575941644566136,67083,720575940640455808
720575941588781380,52147,720575940646018414
720575941427990356,50162,720575940624568846
720575941470752267,125383,720575940624786412
720575941485934989,72742,720575940628474952
720575941548959265,50106,720575940631130711
720575941537854184,39659,720575940623363916
720575941477457438,56870,720575940629678864
720575941429659896,31441,720575940626710053
720575941690389211,66037,720575940623457031
720575941578280181,170405,720575940629763966
720575941593877637,111927,720575940621254676
720575941505691973,70381,720575940621454427
720575941552316990,66192,720575940625981327
720575941475632689,69568,720575940619624630
720575941526730150,62788,720575940622957311
720575941529041028,82139,720575940607199580
720575941435694880,65967,720575940608211780
720575941536206568,88751,720575940634726648
720575941652879345,155123,720575940626365212
720575941438783573,42989,720575940615928386
720575941652272881,61886,720575940636294000
720575941519188590,90340,720575940620532206
720575941506896919,82304,720575940619275643
720575941479018370,545978,720575940622704922
720575941631939564,99708,720575940626742921
720575941527888806,56060,720575940639866275
720575941614962585,115235,720575940632757279
720575941592052587,100468,720575940621595937
720575941574660790,92862,720575940621127815
720575941504539452,62017,720575940623818421
720575941505429317,144753,720575940639110051
720575941640071711,93781,720575940629703724
720575941538651634,66981,720575940621456321
720575941644280440,37141,720575940608295726
720575941502647895,15790,720575940615242357
720575941505093314,580092,720575940629262922
720575941576831592,54934,720575940607382146
720575941643650898,132962,720575940612312282
720575941433737358,50438,720575940618119739
720575941579221585,116345,720575940640917411
720575941497197793,85778,720575940627338302
720575941596345457,103452,720575940628074345
720575941409147439,104908,720575940617038709
720575941451301447,151723,720575940647657604
720575941472505659,59424,720575940633619916
720575941574203657,43345,720575940630939387
720575941473817184,130139,720575940615702621
720575941626535306,43049,720575940620878928
720575941537319907,87845,720575940629936444
720575941504856229,155296,720575940614348967
720575941483923642,97306,720575940633269971
720575941563887767,153707,720575940630316375
720575941496555136,189539,720575940629170220
720575941668570545,104525,720575940608061826
720575941563411554,96519,720575940612878554
720575941545906009,26252,720575940628576335
720575941558454031,50976,720575940639734973
720575941514221658,49870,720575940628223765
720575941473719355,47430,720575940615680658
720575941491408304,28460,720575940616540043
720575941574872719,62927,720575940631294531
720575941528682116,67733,720575940629044329
720575941479237199,95287,720575940625341171
720575941529150136,133505,720575940632804920
720575941506873669,62567,720575940616967611
720575941574599862,62632,720575940627582972
720575941413000559,191856,720575940621020737
720575941659267352,67754,720575940632810188
720575941513157955,60760,720575940632396444
720575941515636371,78161,720575940610945122
720575941526331236,59044,720575940618392157
720575941565616438,69925,720575940627838333
720575941574097928,122337,720575940630612987
720575941450435918,47068,720575940641444085
720575941643855009,71235,720575940624365129
720575941486269446,117890,720575940615221354
720575941433697934,59052,720575940607385283
720575941479850319,128403,720575940612197986
720575941622591740,29786,720575940621162406
720575941630206502,56711,720575940620373009
720575941654180820,100792,720575940633786338
720575941590766220,196589,720575940628998299
720575941552959642,88112,720575940620173959
720575941401496867,66094,720575940629678974
720575941668741619,88825,720575940631203757
720575941483578310,113808,720575940618173140
720575941624162459,49442,720575940611524835
720575941644808353,49851,720575940611745230
720575941614046739,92984,720575940623291177
720575941407956910,45930,720575940631151360
720575941556821540,51258,720575940615466655
720575941434899086,57521,720575940636902767
720575941563539624,75161,720575940627695749
720575941430885807,36253,720575940626993683
720575941467967254,147255,720575940630729324
720575941477461022,52130,720575940626648836
720575941439688539,65976,720575940633855513
720575941494849406,64171,720575940623571555
720575941412308079,37998,720575940619521950
720575941644506488,24799,720575940614618274
720575941493012912,115390,720575940620659053
720575941476922417,112936,720575940631758423
720575941564680502,73969,720575940627873149
720575941610765386,54583,720575940611944434
720575941658324760,54840,720575940637161013
720575941574427401,130671,720575940613952479
720575941548080756,138734,720575940611179054
720575941439313887,33869,720575940624842057
720575941480342914,71766,720575940627530073
720575941527931012,150268,720575940648558980
720575941517982168,54745,720575940625602152
720575941456051181,70316,720575940610989778
720575941639026549,91443,720575940628970481
720575941489446606,59103,720575940631193797
720575941654157073,81917,720575940626252303
720575941535389450,117095,720575940602398473
720575941681051325,16645,720575940634066146
720575941565193367,57874,720575940632415116
720575941572059294,43427,720575940638312006
720575941459750852,109718,720575940612909029
720575941490859726,55160,720575940626070123
720575941566983726,50973,720575940627176977
720575941546274184,72748,720575940615060903
720575941516340314,49577,720575940612333521
720575941425983316,49542,720575940624569276
720575941525349197,54114,720575940620739494
720575941595650087,136891,720575940636037983
720575941479097507,114266,720575940638682950
720575941482986682,179327,720575940641583835
720575941434773646,123363,720575940635750836
720575941496959611,29637,720575940634897303
720575941660471096,91725,720575940638333749
720575941555213651,46919,720575940646258798
720575941484452674,108570,720575940622028726
720575941409076527,44696,720575940625223954
720575941557720996,67385,720575940610177941
720575941579830865,113389,720575940627912444
720575941507813922,105312,720575940632524627
720575941643837089,41085,720575940623655718
720575941594595441,81406,720575940621548543
720575941535619009,84771,720575940623799477
720575941432743438,141774,720575940616568114
720575941486317574,75879,720575940628813060
720575941522635255,65408,720575940604692704
720575941473983274,93082,720575940637643950
720575941575074447,93668,720575940632113439
720575941607280749,73538,720575940621623723
720575941598171584,128692,720575940633087535
720575941610306790,149147,720575940619294526
720575941450206798,43180,720575940627936787
720575941611270317,41056,720575940630161463
720575941610196966,57678,720575940635666367
720575941475538225,57955,720575940630745036
720575941580505721,57961,720575940631855185
720575941438808127,51232,720575940637431110
720575941574461193,189423,720575940627251770
720575941559904045,50223,720575940629523697
720575941454414387,94031,720575940629976323
720575941557679140,79432,720575940619218452
720575941441128895,110131,720575940605682720
720575941507910750,77318,720575940639217085
720575941481643206,33106,720575940607509170
720575941602628537,59830,720575940620500801
720575941499450018,76253,720575940631432901
720575941459978707,56266,720575940614503285
720575941522333259,103579,720575940629090048
720575941566552118,154429,720575940637651034
720575941456101535,54826,720575940612683816
720575941438140972,60741,720575940624159123
720575941434023310,74598,720575940640560189
720575941506872389,90016,720575940632155922
720575941505780293,44377,720575940639055450
720575941518171502,119533,720575940634360546
720575941519515319,122288,720575940612104290
720575941606179181,55199,720575940632125496
720575941493193392,94370,720575940629077191
720575941681013949,53264,720575940638514404
720575941511229906,76785,720575940610902738
720575941577752657,120385,720575940631679530
720575941391584150,68625,720575940637260133
720575941550258493,30701,720575940609734357
720575941611288294,52979,720575940620519685
720575941525675289,54991,720575940626490024
720575941589577783,546479,720575940639151679
720575941483440070,29969,720575940654075809
720575941485989328,117630,720575940631544315
720575941644559698,68518,720575940626111502
720575941688332015,131532,720575940629158897
720575941536200218,179339,720575940609459576
720575941522862327,98560,720575940630171207
720575941522815991,134703,720575940637690970
720575941516090115,58200,720575940629028880
720575941501557387,126182,720575940626774026
720575941732873003,142626,720575940629504105
720575941504525477,178303,720575940630011961
720575941484529037,122921,720575940616304925
720575941722892090,66875,720575940628290618
720575941596185989,44863,720575940620289483
720575941514237393,58666,720575940635602424
720575941630255910,61462,720575940618364325
720575941572228091,43967,720575940640562749
720575941611764582,164858,720575940623135210
720575941610826086,177179,720575940621897648
720575941687321100,126788,720575940617211724
720575941576775094,58766,720575940632213933
720575941536958450,103008,720575940614486782
720575941575209481,99709,720575940640318552
720575941538988157,13190,720575940620720550
720575941626692646,520350,720575940622780148
720575941486581766,151681,720575940614391761
720575941558973455,115073,720575940611157458
720575941560405875,93398,720575940629700611
720575941588675980,60667,720575940611918042
720575941521250227,72057,720575940613683181
720575941686007052,531509,720575940625178808
720575941629292012,92297,720575940621467227
720575941539053517,105184,720575940628988727
720575941443727786,92795,720575940630853420
720575941604953453,31838,720575940630490588
720575941549896510,83078,720575940647086388
720575941686965999,82036,720575940635617204
720575941437235756,123410,720575940628759829
720575941505900161,518495,720575940617975965
720575941537624547,166905,720575940638053722
720575941513299788,142452,720575940638067534
720575941626898726,544910,720575940621881328
720575941668335347,27251,720575940608801291
720575941678523069,98643,720575940625081272
720575941585488862,90057,720575940647149876
720575941535035619,142340,720575940632317999
720575941414231700,82556,720575940621375726
720575941624207868,517931,720575940633665107
720575941503415717,42504,720575940632067176
720575941486845648,69374,720575940634389148
720575941494992583,75036,720575940614214696
720575941542484060,514719,720575940617030261
720575941431332088,170200,720575940609928643
720575941435309710,535940,720575940647384372
720575941595308071,78652,720575940609808738
720575941563175336,99433,720575940617085746
720575941581492319,87989,720575940614278063
720575941565531799,92808,720575940620078027
720575941521031927,112974,720575940629019947
720575941539075314,89601,720575940620044112
720575941442357674,86559,720575940610982520
720575941507049239,89883,720575940615401309
720575941633099680,83053,720575940612258254
720575941440001343,77030,720575940632082060
720575941472554336,516347,720575940636140407
720575941575622799,18431,720575940631189445
720575941506896805,28260,720575940622694476
720575941639358837,91908,720575940627915919
720575941486437442,84313,720575940634210841
720575941491982567,516757,720575940613442070
720575941504820786,29918,720575940628476678
720575941606825069,14810,720575940635044344
720575941632601324,46839,720575940617780283
720575941510642192,544127,720575940623914749
720575941550700605,524726,720575940628172049
720575941604579262,60036,720575940610938330
720575941410658475,532905,720575940639137845
720575941528451716,946177,720575940614513258
720575941505939365,32556,720575940607403275
720575941545648745,33072,720575940625731728
720575941412626799,26464,720575940619403201
720575941688718348,41513,720575940640802163
720575941470675319,36944,720575940638573171
720575941670725543,149631,720575940628429979
720575941595812485,73987,720575940614808150
720575941565630103,137160,720575940615790310
720575941655107540,135049,720575940629733443
720575941595295783,69484,720575940641079541
720575941663484028,77013,720575940605669041
720575941552024575,125669,720575940646564131
720575941613245593,121940,720575940608766933
720575941493318832,83821,720575940620538965
720575941526062180,527350,720575940625450084
720575941595114021,14577,720575940620858606
720575941408646447,64052,720575940606651936
720575941504196075,40316,720575940631527016
720575941561252776,183266,720575940631484409
720575941545657705,11266,720575940610472146
720575941721258298,533532,720575940629192975
720575941479874434,46303,720575940610585753
720575941539341717,28389,720575940605924994
720575941667096307,124001,720575940623431351
720575941476470593,23188,720575940604079532
720575941433317646,21589,720575940609713710
720575941519971507,119058,720575940642752292
720575941612281446,70739,720575940619765101
720575941495190142,13030,720575940627231400
720575941554637466,521023,720575940622248453
720575941565709463,19215,720575940625477322
720575941441668443,18720,720575940630201359
720575941441243839,25178,720575940627081502
720575941652857873,516362,720575940613296613
720575941510502416,50076,720575940608331650
720575941595808039,13971,720575940606947202
720575941589844535,512350,720575940626436126
720575941615338905,80066,720575940624636505
720575941450586958,20744,720575940613874738
720575941515769347,10507,720575940629656023
720575941652890385,42668,720575940620126366
720575941458940100,53325,720575940651833078
720575941547465396,11475,720575940624945438
720575941516084314,14076,720575940649361785
720575941469997021,63022,720575940628618106
720575941643705189,174801,720575940639355251
720575941633340064,67463,720575940630614981
720575941466973526,13043,720575940625641418
720575941631639020,21287,720575940616949977
720575941431461335,25235,720575940631138322
720575941599874345,156892,720575940641133557
720575941549510945,23147,720575940613877299
720575941660384312,23756,720575940639505213
720575941475032884,558117,720575940628920219
720575941472124992,25026,720575940618112069
720575941566657326,556995,720575940605793894
720575941594320753,18035,720575940629260035
720575941598955200,18662,720575940634086295
720575941557487396,52449,720575940627773416
720575941613604883,10823,720575940623533749
720575941575578255,16261,720575940609633582
720575941466034262,131937,720575940625371024
720575941501290123,26226,720575940611700520
720575941593090088,108075,720575940639237710
720575941573051464,512723,720575940619211480
720575941553001534,22733,720575940623053261
720575941405095280,55504,720575940638375494
720575941440513877,84513,720575940613645487
720575941452858695,51145,720575940626560293
720575941594749221,338148,720575940618404312
720575941393699478,52371,720575940621645829
720575941534955608,71581,720575940647822468
720575941535231425,63335,720575940608278537
720575941436116000,120579,720575940620346900
720575941507631941,534777,720575940610896708
720575941584079711,24613,720575940631321797
720575941604189430,47167,720575940612342770
720575941658358608,27493,720575940615218087
720575941570855582,47123,720575940616846934
720575941490832073,82795,720575940629445498
720575941438855743,64877,720575940631755746
720575941440523861,30803,720575940622290252
720575941518030508,35055,720575940621857524
720575941453221545,18465,720575940601412361
720575941519462766,16531,720575940622323080
720575941585830278,524804,720575940609574468
720575941654816724,526572,720575940626065753
720575941564944903,185296,720575940618939469
720575941628099129,147570,720575940625883454
720575941495331454,515357,720575940635913840
720575941655042777,34850,720575940623280127
720575941499689378,534870,720575940635503758
720575941506556325,537752,720575940615056790
720575941470711415,24274,720575940642267021
720575941515458297,45709,720575940622650723
720575941522622455,90681,720575940616919109
720575941533847730,22869,720575940619175547
720575941539335317,68558,720575940646927924
720575941411379115,30494,720575940623598311
720575941655825108,13736,720575940617767990
720575941488242384,571384,720575940617211351
720575941624465916,10806,720575940618984431
720575941441905755,37061,720575940617516729
720575941652578801,525979,720575940620555696
720575941644668360,24019,720575940608760110
720575941553783175,15299,720575940624048898
720575941536772378,18341,720575940613771246
720575941520401591,30065,720575940604427232
720575941469686647,127028,720575940644146030
720575941588634436,185406,720575940605051052
720575941551602311,23445,720575940621129569
720575941515892323,26893,720575940615229346
720575941523825227,520058,720575940608669379
720575941427779156,56832,720575940627790076
720575941450717097,18168,720575940618026241
720575941658829848,523436,720575940610367812
720575941450100317,19818,720575940640501467
720575941560555891,25534,720575940627348841
720575941476584753,49010,720575940619881777
720575941568967026,42469,720575940610907654
720575941510145552,34748,720575940620908969
720575941487405776,514250,720575940628270083
720575941560109939,18608,720575940644506135
720575941519664600,38036,720575940627475096
720575941573934749,43074,720575940605453001
720575941655781844,513554,720575940610587000
720575941510864912,16168,720575940629480570
720575941632409531,36967,720575940626210844
720575941522552311,18546,720575940622115169
720575941467830550,525421,720575940626748648
720575941575328911,28290,720575940606153248
720575941527275289,47419,720575940636118452
720575941578621785,20050,720575940626310568
720575941564495872,42588,720575940640254928
720575941534823768,519046,720575940626512581
720575941519076524,47882,720575940632496441
720575941701007066,18977,720575940644535860
720575941611866797,533274,720575940631204204
720575941593210408,525896,720575940627139410
720575941552120063,23319,720575940624829989
720575941681501629,22848,720575940619676619
720575941474277216,68968,720575940622948243
720575941620189567,512580,720575940612933013
720575941503934807,29632,720575940619355984
720575941504498882,555747,720575940646764579
720575941651479061,18378,720575940610585208
720575941533574634,32129,720575940642465499
720575941611291625,27132,720575940636029662
720575941600729897,11253,720575940640591924
720575941516619180,19025,720575940614862226
720575941539311602,513120,720575940623166090
720575941585999750,14483,720575940620148596
720575941505755159,23659,720575940631306538
720575941537826280,522813,720575940605306726
720575941536193217,21515,720575940631189366
720575941564355218,19624,720575940624377096
720575941669191345,513542,720575940621067204
720575941633755835,518731,720575940604954289
720575941455144499,39666,720575940618177846
720575941495049086,24301,720575940624752316
720575941404925040,185298,720575940630321401
720575941533641347,523841,720575940636419502
720575941519180204,130595,720575940626562409
720575941474819380,15531,720575940637602621
720575941516247130,27795,720575940621107309
720575941441631067,559547,720575940632107091
720575941436895199,21534,720575940622238934
720575941450042293,513149,720575940631001314
720575941553046043,36630,720575940629669175
720575941513832268,65611,720575940632591315
720575941506550693,26911,720575940659042689
720575941483619581,36354,720575940629273913
720575941562043392,519936,720575940620263150
720575941534911832,76825,720575940631917651
720575941437622239,100549,720575940631283471
720575941585193606,22891,720575940637085503
720575941505784926,22941,720575940628848122
720575941511200844,15996,720575940629980931
720575941572890270,36070,720575940612946325
720575941569605876,94579,720575940635606629
720575941549697652,87853,720575940635633271
720575941588856830,43045,720575940625634830
720575941438798124,120487,720575940646461219
720575941437209644,33437,720575940612790442
720575941562378408,87266,720575940603722412
720575941547563297,125333,720575940624736509
720575941490414025,52145,720575940642612896
720575941633366688,38430,720575940625591527
720575941486496262,60803,720575940609225411
720575941429362351,39954,720575940614769361
720575941439744347,110002,720575940634639074
720575941593893413,79650,720575940633476889
720575941619727743,186127,720575940605269094
720575941602028022,203064,720575940633042759
720575941573297821,82669,720575940611575249
720575941593910821,128031,720575940614973115
720575941571738184,102040,720575940619012637
720575941417002268,24217,720575940638290409
720575941432754903,122554,720575940639451600
720575941595447153,95000,720575940609139907
720575941629336102,89480,720575940633123212
720575941639319583,80247,720575940622375894
720575941574277533,38112,720575940619276668
720575941584434271,70413,720575940631391503
720575941508695568,67454,720575940624230473
720575941559802094,41290,720575940618710818
720575941505302085,55837,720575940621315750
720575941613082588,64368,720575940614277859
720575941492780720,76516,720575940631192108
720575941455564013,134101,720575940620039429
720575941515865603,76808,720575940624004095
720575941479934432,11715,720575940614942718
720575941590309416,57769,720575940636151919
720575941689385624,196687,720575940634945692
720575941578031961,556902,720575940605488305
720575941560816173,17925,720575940618689950
720575941508381218,118878,720575940618650166
720575941691448984,522440,720575940638132058
720575941668549363,44944,720575940621120903
720575941429599625,91277,720575940615969346
720575941474072891,52797,720575940614305745
720575941589329662,123338,720575940615017903
720575941532267651,110468,720575940611352418
720575941548030241,66363,720575940614750358
720575941538795250,38413,720575940617833762
720575941584335326,52011,720575940631136274
